Timestamp, Measurement (uW)
1759344842, 26.441uW
1759344844, 26.449uW
1759344845, 26.464uW
1759344847, 26.460uW
1759344848, 26.456uW
1759344849, 26.457uW
1759344851, 26.452uW
1759344853, 26.437uW
1759344854, 26.441uW
1759344856, 26.460uW
1759344857, 26.468uW
1759344858, 26.463uW
1759344860, 26.464uW
1759344862, 26.448uW
1759344863, 26.437uW
1759344865, 26.420uW
1759344866, 26.404uW
1759344868, 26.389uW
1759344869, 26.370uW
1759344871, 26.360uW
1759344872, 26.344uW
1759344874, 26.327uW
1759344876, 26.322uW
1759344877, 26.307uW
1759344879, 26.299uW
1759344881, 26.271uW
1759344882, 26.237uW
1759344884, 26.224uW
1759344886, 26.204uW
1759344887, 26.178uW
1759344889, 26.179uW
1759344891, 26.184uW
1759344892, 26.176uW
1759344893, 26.170uW
1759344895, 26.175uW
1759344896, 26.179uW
1759344898, 26.183uW
1759344899, 26.195uW
1759344900, 26.185uW
1759344902, 26.199uW
1759344904, 26.196uW
1759344905, 26.187uW
1759344907, 26.183uW
1759344908, 26.178uW
1759344910, 26.170uW
1759344911, 26.158uW
1759344912, 26.155uW
1759344914, 26.132uW
1759344915, 26.116uW
1759344917, 26.108uW
1759344919, 26.105uW
1759344920, 26.099uW
1759344921, 26.092uW
1759344923, 26.091uW
1759344925, 26.088uW
1759344926, 26.077uW
1759344928, 26.092uW
1759344929, 26.099uW
1759344931, 26.105uW
1759344933, 26.093uW
1759344935, 26.081uW
1759344937, 26.077uW
1759344938, 26.076uW
1759344940, 26.061uW
1759344941, 26.065uW
1759344942, 26.076uW
1759344943, 26.078uW
1759344944, 26.098uW
1759344946, 26.109uW
1759344947, 26.110uW
1759344949, 26.102uW
1759344951, 26.094uW
1759344952, 26.083uW
1759344953, 26.075uW
1759344954, 26.084uW
1759344956, 26.067uW
1759344957, 26.062uW
1759344959, 26.060uW
1759344960, 26.056uW
1759344962, 26.046uW
1759344964, 26.044uW
1759344965, 26.035uW
1759344967, 26.030uW
1759344968, 26.040uW
1759344970, 26.041uW
1759344971, 26.020uW
1759344973, 26.010uW
1759344975, 25.989uW
1759344976, 25.981uW
1759344978, 25.990uW
1759344979, 25.987uW
1759344981, 25.977uW
1759344982, 25.978uW
1759344984, 25.969uW
1759344985, 25.960uW
1759344987, 25.960uW
1759344989, 25.974uW
1759344990, 25.999uW
1759344992, 26.020uW
1759344993, 26.033uW
1759344995, 26.047uW
1759344997, 26.062uW
1759344998, 26.063uW
1759345000, 26.062uW
1759345001, 26.054uW
1759345003, 26.041uW
1759345004, 26.048uW
1759345006, 26.064uW
1759345007, 26.064uW
1759345009, 26.069uW
1759345011, 26.054uW
1759345012, 26.052uW
1759345013, 26.064uW
1759345015, 26.070uW
1759345016, 26.077uW
1759345018, 26.090uW
1759345020, 26.090uW
1759345021, 26.091uW
1759345023, 26.089uW
1759345024, 26.080uW
1759345026, 26.080uW
1759345027, 26.068uW
1759345029, 26.061uW
1759345030, 26.044uW
1759345032, 26.030uW
1759345033, 26.029uW
1759345034, 26.012uW
1759345035, 26.014uW
1759345036, 26.012uW
1759345037, 26.000uW
1759345039, 25.992uW
1759345040, 25.986uW
1759345041, 25.985uW
1759345042, 25.980uW
1759345043, 25.974uW
1759345045, 25.966uW
1759345046, 25.958uW
1759345048, 25.949uW
1759345049, 25.937uW
1759345051, 25.929uW
1759345052, 25.925uW
1759345054, 25.914uW
1759345056, 25.946uW
1759345057, 25.972uW
1759345059, 25.992uW
1759345060, 26.008uW
1759345062, 26.021uW
1759345064, 26.041uW
1759345065, 26.069uW
1759345066, 26.083uW
1759345068, 26.094uW
1759345069, 26.100uW
1759345071, 26.111uW
1759345072, 26.123uW
1759345073, 26.122uW
1759345074, 26.133uW
1759345075, 26.130uW
1759345077, 26.135uW
1759345078, 26.133uW
1759345079, 26.132uW
1759345081, 26.141uW
1759345082, 26.131uW
1759345083, 26.121uW
1759345085, 26.093uW
1759345086, 26.083uW
1759345088, 26.079uW
1759345090, 26.072uW
1759345091, 26.055uW
1759345093, 26.041uW
1759345094, 26.035uW
1759345096, 26.028uW
1759345097, 26.016uW
1759345099, 26.009uW
1759345100, 26.005uW
1759345102, 26.009uW
1759345104, 26.018uW
1759345106, 26.031uW
1759345107, 26.037uW
1759345108, 26.047uW
1759345109, 26.060uW
1759345111, 26.078uW
1759345113, 26.088uW
1759345114, 26.089uW
1759345116, 26.102uW
1759345117, 26.121uW
1759345119, 26.134uW
1759345121, 26.136uW
1759345122, 26.118uW
1759345123, 26.119uW
1759345125, 26.121uW
1759345126, 26.112uW
1759345127, 26.093uW
1759345129, 26.083uW
1759345130, 26.079uW
1759345132, 26.083uW
1759345133, 26.088uW
1759345135, 26.096uW
1759345137, 26.088uW
1759345139, 26.069uW
1759345140, 26.057uW
1759345142, 26.035uW
1759345143, 26.025uW
1759345145, 26.019uW
1759345146, 26.013uW
1759345147, 26.008uW
1759345149, 26.005uW
1759345151, 26.022uW
1759345152, 26.014uW
1759345153, 26.018uW
1759345154, 26.025uW
1759345155, 26.027uW
1759345157, 26.027uW
1759345158, 26.025uW
1759345159, 26.023uW
1759345161, 26.024uW
1759345162, 26.016uW
1759345164, 26.016uW
1759345165, 26.011uW
1759345166, 25.993uW
1759345167, 25.989uW
1759345169, 25.995uW
1759345170, 26.002uW
1759345172, 25.998uW
1759345174, 26.014uW
1759345175, 26.008uW
1759345177, 26.024uW
1759345178, 26.030uW
1759345179, 26.042uW
1759345181, 26.054uW
1759345182, 26.078uW
1759345184, 26.087uW
1759345185, 26.095uW
